InstanceID,ClassID,PanopticID,R,G,B,Name,Size
0,0,0,55,181,57,Unknown,M
1,1,1,153,108,6,pepper,S
2,1,1,112,105,191,pepper,S
3,1,1,89,121,72,pepper,S
4,1,1,190,225,64,pepper,S
5,1,1,206,190,59,pepper,S
6,1,1,81,13,36,pepper,S
7,1,1,115,176,195,pepper,S
8,1,1,161,171,27,pepper,S
9,1,1,135,169,180,pepper,S
10,1,1,29,26,199,pepper,S
11,1,1,102,16,239,pepper,S
12,1,1,242,107,146,pepper,S
13,1,1,156,198,23,pepper,S
14,1,1,49,89,160,pepper,S
15,1,1,68,218,116,pepper,S
16,1,1,11,236,9,pepper,S
17,1,1,196,30,8,pepper,S
18,1,1,121,67,28,pepper,S
19,1,1,0,53,65,pepper,S
20,1,1,146,52,70,pepper,S
21,1,1,226,149,143,pepper,S
22,1,1,151,126,171,pepper,S
23,1,1,194,39,7,pepper,S
24,1,1,205,120,161,pepper,S
25,1,1,212,51,60,pepper,S
26,1,1,211,80,208,pepper,S
27,1,1,189,135,188,pepper,S
28,1,1,54,72,205,pepper,S
29,1,1,103,252,157,pepper,S
30,1,1,124,21,123,pepper,S
31,1,1,19,132,69,pepper,S
32,1,1,195,237,132,pepper,S
33,1,1,94,253,175,pepper,S
34,1,1,182,251,87,pepper,S
35,1,1,90,162,242,pepper,S
36,1,1,199,29,1,pepper,S
37,1,1,254,12,229,pepper,S
38,1,1,35,196,244,pepper,S
39,1,1,220,163,49,pepper,S
40,1,1,86,254,214,pepper,S
41,1,1,152,3,129,pepper,S
42,1,1,92,31,106,pepper,S
43,1,1,207,229,90,pepper,S
44,1,1,125,75,48,pepper,S
45,1,1,98,55,74,pepper,S
46,1,1,126,129,238,pepper,S
47,1,1,222,153,109,pepper,S
48,1,1,85,152,34,pepper,S
49,1,1,173,69,31,pepper,S
50,1,1,37,128,125,pepper,S
51,1,1,58,19,33,pepper,S
52,1,1,134,57,119,pepper,S
53,1,1,218,124,115,pepper,S
54,1,1,120,0,200,pepper,S
55,1,1,225,131,92,pepper,S
56,1,1,246,90,16,pepper,S
57,1,1,51,155,241,pepper,S
58,1,1,202,97,155,pepper,S
59,1,1,184,145,182,pepper,S
60,1,1,96,232,44,pepper,S
61,1,1,133,244,133,pepper,S
62,1,1,180,191,29,pepper,S
63,1,1,1,222,192,pepper,S
64,1,1,99,242,104,pepper,S
65,1,1,91,168,219,pepper,S
66,1,1,65,54,217,pepper,S
67,1,1,148,66,130,pepper,S
68,1,1,203,102,204,pepper,S
69,1,1,216,78,75,pepper,S
70,1,1,109,206,24,pepper,S
71,1,1,55,181,57,pepper,S
72,1,1,153,108,6,pepper,S
73,1,1,112,105,191,pepper,S
74,1,1,89,121,72,pepper,S
75,1,1,190,225,64,pepper,S
76,1,1,206,190,59,pepper,S
77,1,1,81,13,36,pepper,S
78,1,1,115,176,195,pepper,S
79,1,1,161,171,27,pepper,S
80,1,1,135,169,180,pepper,S
81,1,1,29,26,199,pepper,S
82,1,1,102,16,239,pepper,S
83,1,1,242,107,146,pepper,S
84,1,1,156,198,23,pepper,S
85,1,1,49,89,160,pepper,S
86,1,1,68,218,116,pepper,S
87,1,1,11,236,9,pepper,S
88,1,1,196,30,8,pepper,S
89,1,1,121,67,28,pepper,S
90,1,1,0,53,65,pepper,S
91,1,1,146,52,70,pepper,S
92,1,1,226,149,143,pepper,S
93,1,1,151,126,171,pepper,S
94,1,1,194,39,7,pepper,S
95,1,1,205,120,161,pepper,S
96,1,1,212,51,60,pepper,S
97,1,1,211,80,208,pepper,S
98,1,1,189,135,188,pepper,S
99,1,1,54,72,205,pepper,S
100,1,1,103,252,157,pepper,S
101,1,1,124,21,123,pepper,S
102,1,1,19,132,69,pepper,S
103,1,1,195,237,132,pepper,S
104,1,1,94,253,175,pepper,S
105,1,1,182,251,87,pepper,S
106,1,1,90,162,242,pepper,S
107,1,1,199,29,1,pepper,S
108,1,1,254,12,229,pepper,S
109,1,1,35,196,244,pepper,S
110,1,1,220,163,49,pepper,S
111,1,1,86,254,214,pepper,S
112,1,1,152,3,129,pepper,S
113,1,1,92,31,106,pepper,S
114,1,1,207,229,90,pepper,S
115,1,1,125,75,48,pepper,S
116,1,1,98,55,74,pepper,S
117,1,1,126,129,238,pepper,S
118,1,1,222,153,109,pepper,S
119,1,1,85,152,34,pepper,S
120,1,1,173,69,31,pepper,S
121,1,1,37,128,125,pepper,S
122,1,1,58,19,33,pepper,S
123,1,1,134,57,119,pepper,S
124,1,1,218,124,115,pepper,S
125,1,1,120,0,200,pepper,S
126,1,1,225,131,92,pepper,S
127,1,1,246,90,16,pepper,S
128,1,1,51,155,241,pepper,S
129,1,1,202,97,155,pepper,S
130,1,1,184,145,182,pepper,S
131,1,1,96,232,44,pepper,S
132,1,1,133,244,133,pepper,S
133,1,1,180,191,29,pepper,S
134,1,1,1,222,192,pepper,S
